연도,월,상하수도사용량
2013,01,1287
2013,02,0
2013,03,1219
2013,04,0
2013,05,1434
2013,06,0
2013,07,1506
2013,08,0
2013,09,1754
2013,10,0
2013,11,1362
2013,12,0
2014,01,1330
2014,02,0
2014,03,1146
2014,04,0
2014,05,1467
2014,06,0
2014,07,688
2014,08,646
2014,09,1085
2014,10,1980
2014,11,887
2014,12,899
2015,01,899
2015,02,820
2015,03,878
2015,04,733
2015,05,825
2015,06,1317
2015,07,1062
2015,08,1086
2015,09,1128
2015,10,1043
2015,11,820
2015,12,895
2016,01,805
2016,02,793
2016,03,664
2016,04,779
2016,05,851
2016,06,930
2016,07,1031
2016,08,1042
2016,09,1146
2016,10,860
2016,11,766
2016,12,854
2017,01,705
2017,02,710
2017,03,807
2017,04,638
2017,05,1034
2017,06,577
2017,07,931
2017,08,1319
2017,09,1271
2017,10,813
2017,11,603
2017,12,921
2018,01,672
2018,02,662
2018,03,734
2018,04,645
2018,05,809
2018,06,849
2018,07,704
2018,08,1120
2018,09,1542
2018,10,1072
2018,11,665
2018,12,965
2019,01,694
2019,02,751
2019,03,749
2019,04,728
2019,05,904
2019,06,906
2019,07,1018
2019,08,943
2019,09,1547
2019,10,971
2019,11,919
2019,12,817
2020,01,728
2020,02,726
2020,03,735
2020,04,782
2020,05,715
2020,06,726
2020,07,902
2020,08,1395
2020,09,1109
2020,10,1302
2020,11,622
2020,12,798
2021,01,932
2021,02,707
2021,03,740
2021,04,583
2021,05,769
2021,06,605
2021,07,963
2021,08,1012
2021,09,1556
2021,10,826
2021,11,595
2021,12,842
2022,01,651
2022,02,730
2022,03,624
2022,04,571
2022,05,611
2022,06,637
2022,07,777
2022,08,1211
2022,09,1039
2022,10,794
2022,11,646
2022,12,569
2023,01,769
2023,02,692
2023,03,639
2023,04,535
2023,05,674
2023,06,689
2023,07,752
2023,08,817
2023,09,838
2023,10,793
2023,11,574
2023,12,803
2024,01,678
2024,02,582
2024,03,614
2024,04,579
2024,05,608
2024,06,543
2024,07,831
2024,08,762
2024,09,980
2024,10,980
2024,11,647
2024,12,685
2025,01,700
2025,02,570
